No.	英単語	意味	処理用	例文1	例文1（日本語）
1406	distract	～をそらす，～の気を散らす			
1406.1	distraction	～気を散らすもの，気晴らし			
1407	disclose	～を暴露する，～を公表する			
1408	enroll	入会する，～を入学（入会）させる			
1408.1	enrollment	入学，入会			
1409	nurture	～を育てる，～を養育する，養育，教育			
1410	speculate	推測する，憶測する			
1410.1	speculation	思索，推測，憶測，投機			
1411	prolong	～を延ばす，～を延長する			
1411.1	prolonged	長引く，長期の			
1412	execute	～を処刑する，（計画など）を遂行する			
1413	uncover	～を明らかにする，～を発掘する			
1414	tremble	ふるえる			
1415	seize	～をつかむ，～をとらえる			
1416	abolish	～を廃止する，（悪いもの）をなくす			
1417	scold	～をしかる			
1418	attain	～を達成する，～を獲得する			
1419	utter	～を発する，～を述べる			
1419.1	utterance	言葉を発すること，発言			
1420	flee	逃げる，～から逃げ去る			
1421	offends	～を怒らせる，～の感情を害する			
1421.1	offense	罪，違反，立腹，無礼，攻撃			
1421.2	offensive	不快な，いやな			
1422	confess	～と告白する，（自分に不利なこと）を認める			
1422.1	confession	告白，自白			
1423	postpone	～を延期する			
1424	drift	ただよう，漂流する，漂流			
1425	weave	～を織る，編む			
1426	install	～を備えつける			
1427	twist	～をねじ曲げる，巻く，ひねる			
1428	extract	～を取り出す，～を抜き出す，抽出する			
1429	bump	ぶつかる，～に偶然出会う			
1430	despise	～を軽蔑する			
1431	tolerate	～を我慢する，～に耐える			
1431.1	tolerance	寛容，忍耐(=patience)，耐性			
1431.2	tolerant	寛大な，寛容な，耐性のある			
1432	boast	自慢する，～を誇る			
1433	flourishing	栄えている，繁栄する			
1434	disregard	～を無視する，無視			
1435	tease	～をからかう，～をいじめる			
1436	reinforce	～を強める，～を補強する，～を補足する			
1437	strive	努力する，励む			
1438	coordinate	～を合わせる，（活動など）をまとめる，調和させる			
1438.1	coordination	調和，（筋肉・身体各部の運動の）協調			
1439	yawn	あくびをする			
1440	hug	～を抱きしめる，ハグ			
1441	combat	～と戦う，戦闘			
1442	knit	～を編む，しっかりと組み合わせる			
1442.1	knitting	編み物			
1442.2	knot	結び目，〜を結ぶ			
1443	fatigue	疲労			
1444	fame	名声，評判			
1444.1	famous	有名な			
1445	mess	めちゃくちゃ，混乱			
1445.1	messy	汚い，散らかった			
1446	dignity	尊厳，威厳，気品			
1446.1	dignified	威厳のある			
1447	canal	運河			
1448	drought	干ばつ			
1449	despair	絶望，絶望する			
1450	interval	間隔，隔たり			
1451	luggage	荷物			
1452	behalf	～を代表して，～のために			
1453	impulse	衝動，欲求			
1454	debris	破片，がれき，ごみ			
1455	beast	野獣			
1456	superstition	迷信			
1456.1	superstitious	迷信的な			
1457	illusion	幻想			
1458	thread	糸			
1458.1	needle	針			
1458.2	string	ひも，糸			
1459	intake	摂取量			
1460	feast	宴会，祝祭			
1461	transition	移り変わり，推移，変化			
1462	misery	悲惨さ，みじめさ，不幸			
1462.1	miserable	みじめな，不幸な			
1463	radiation	放射線，（光・熱などの）放射，発散			
1463.1	radioactive	放射性の，放射能のある			
1464	log	丸太，〜を伐採する			
1465	consensus	合意			
1466	deed	行い，（言葉に対する）行為			
1467	proverb	ことわざ			
1468	compliment	ほめ言葉，（人）をほめる			
1468.1	complimentary	無料で，ただの			
1469	flame	炎			
1470	anniversary	記念日			
1471	conscience	良心			
1471.1	conscientious	良心的な			
1472	expedition	探検，遠出，探検隊			
1473	offspring	子孫			
1474	allowance	こづかい，手当金，仕送り，許容量			
1475	headline	大見出し，主なニュース項目			
1476	treaty	条約，（国家間の）協定			
1477	monument	記念碑，遺跡，史跡			
1478	worm	虫		What is that \enword{worm} in the water? A slug?	あの水の中の\jpword{虫}は何？ナメクジ？
1479	remedy	治療法，薬，改善策，〜を改善する			
1480	encyclopedia	百科事典			
1481	glimpse	〜をちらりと目にする			
1482	personnel	職員，人事			
1483	triumph	勝利，大成功			
1484	arithmetic	算数，算数の			
1484.1	geometry	幾何学			
1484.2	algebra	代数			
1485	self-esteem	自尊心，自負			
1485.1	esteem	尊敬			
1486	microbe	微生物			
1486.1	microbiology	微生物学，細菌学			
1487	odds	可能性，勝ち目，賭け率			
1488	chaos	混沌，無秩序(=confusion)			
1488.1	chaotic	混沌とした			
1489	destiny	運命			
1489.1	fate	運命，（悪い）運，破滅			
1490	diameter	直径			
1491	lottery	宝くじ			
1491.1	lot	くじ，運命，地所			
1492	souvenir	みやげ物，記念品			
1493	trail	小道，通った跡			
1494	ratio	比率			
1495	sword	剣			
1495.1	blade	刃，葉			
1495.2	shield	盾，〜を保護する			
1496	whistle	笛，口笛，（口）笛を吹く			
1497	sentiment	感情，世論，意見，考え方，情操			
1497.1	sentimental	感傷的な，心情的な			
1498	chore	雑用，日課，家事			
1499	courtesy	礼儀，儀礼的挨拶			
1499.1	courteous	礼儀正しい			
1500	mayor	市長，町（村）長			
1501	surveillance	監視			
1502	trash	ゴミ，がらくた			
1502.1	rubbish	がらくた(=garbage)，ばかげた事			
1502.2	litter	ゴミ，（犬などの）一腹の子，散らかす			
1502.3	scrap	断片，くず，残飯，〜を廃棄する			
1502.4	landfill	ゴミ処理地			
1503	prestige	名声，威信，信望			
1503.1	prestigious	名声のある，一流の			
1504	headquarters	本部，本社，司令部			
1505	wilderness	荒野，未開の地			
1506	orbit	軌道，〜の周りを回る			
1507	bias	偏見，えこひいき，傾向(+toward)			
1508	republic	共和国			
1509	bargain	掘り出し物，値引き品，交渉する(+with)			
1509.1	bargaining	交渉			
1510	domain	領域			
1511	fragment	破片，断片			
1512	galaxy	星雲，銀河，小宇宙			
1513	lap	膝			
1513.1	knee	ひざ（頭）			
1513.2	kneel	ひざまづく			
1514	deadline	締め切り			
1515	bullet	弾丸			
1516	pedestrian	歩行者			
1517	wit	機知			
1517.1	witty	機知のある，気の利いた			
1518	nuisance	迷惑			
1519	criteria	基準，尺度			
1520	hardship	苦難			
1521	glory	栄光，すばらしさ，誇りとなるもの			
1521.1	glorious	すばらしい，栄光ある			
1522	pavement	歩道			
1522.1	pave	〜を舗装する			
1523	navy	海軍			
1523.1	naval	海軍の			
1524	script	台本，筆跡，文字			
1524.1	manuscript	原稿，文章，手書き			
1525	pension	年金			
1526	province	州，地方			
1526.1	provincial	州の，地方の			
1526.2	prefecture	県，府			
1527	surplus	余剰，過剰			
1528	moisture	水分，湿気			
1528.1	moist	湿った			
1529	patch	継ぎはぎ，傷あて，部分			
1530	altitude	高度			
1531	thermometer	温度計			
1531.1	barometer	気圧計			
1532	tuition	授業料(=tuition fees)，授業，指導			
1533	troop	軍隊			
1534	primate	霊長類			
1535	flaw	欠陥，不備，欠点，傷			
1536	nephew	甥			
1536.1	niece	姪			
1536.2	cousin	いとこ			
1536.3	sibling	兄弟姉妹			
1537	garment	衣服			
1537.1	costume	衣装			
1538	diagnosis	診断，（病気・問題の）分析			
1538.1	diagnose	～を診断する			
1539	commerce	商業			
1539.1	commercial	商業的な，コマーシャル			
1540	antiquity	古代			
1540.1	antique	古めかしい，骨董品の，骨董品			
1541	fraction	ほんの一部，少量，分数			
1542	irony	皮肉，奇妙な事実			
1542.1	ironically	皮肉にも			
1542.2	ironic	皮肉な			
1543	nightmare	悪夢			
1544	defect	欠陥，障害			
1544.1	defective	欠陥のある			
1545	certificate	証明書，免許状			
1545.1	certify	～を証明する			
1546	decay	腐敗，衰退(=decline)，衰える			
1547	erosion	侵食			
1547.1	erode	～を侵食する，（信頼・価値など）を損なう			
1548	recipe	秘訣，調理法			
1549	skeleton	骨格，骸骨			
1549.1	skull	頭蓋骨			
1550	grace	優雅さ，気品			
1550.1	graceful	優雅な，上品な			
1550.2	disgrace	不名誉，恥辱			
1551	landmark	名所，目印			
1552	dementia	認知症			
1553	flesh	肉，肌			
1554	collision	衝突			
1554.1	collide	衝突する(+with)			
1555	hazard	危険なもの，危険要因			
1555.1	hazardous	危険な			
1556	tomb	墓			
1556.1	comb	くし			
1557	injection	注射			
1557.1	inject	～を注射する			
1558	breakthrough	飛躍的進歩			
1559	leather	革，革製の			
1560	jewelry	宝石，宝石類			
1560.1	jewel	（個々の）宝石			
1561	cue	合図，手がかり，きっかけ			
1562	ambulance	救急車			
1563	estate	不動産，所有地，財産			
1564	commodity	商品(=goods)，日用品			
1565	departure	出発(⇔arrival)，逸脱，離反(+from)			
1565.1	depart	出発する			
1566	phase	段階(=stage)，時期			
1567	thief	泥棒			
1567.1	theft	盗み			
1567.2	burglar	強盗			
1568	saint	聖，聖人，聖者			
1569	sculpture	彫刻			
1570	grief	悲しみ			
1570.1	grieve	悲しむ(+over, at)，〜を悲しませる			
1571	lane	車線，小道			
1572	predator	捕食動物，肉食動物			
1573	fluid	流体，流動体			
1574	incentive	はげみ(+to)，動機(=motivation)，刺激			
1575	bride	花嫁			
1575.1	bachelor	独身男性，学士			
1575.2	spouse	配偶者			
1576	intervention	介入，干渉			
1576.1	intervene	介入する，干渉する(+in)			
1577	margin	差，票差，余白，ふち(=edge)			
1577.1	marginal	端の，重要でない(=unimportant)			
1578	biography	伝記			
1578.1	autobiography	自叙伝			
1579	consent	同意，承諾，同意する			
1580	volcano	火山			
1580.1	volcanic	火山の			
1581	rebel	反逆者，反逆する，反抗する			
1581.1	rebellion	反乱，反抗			
1582	metaphor	比喩，隠喩			
1583	legislation	法律，立法，法律制定			
1584	lightning	稲妻			
1584.1	thunder	雷鳴			
1585	pesticide	殺虫剤，除草剤			
1585.1	pest	害虫，厄介な存在，ペスト			
1586	column	コラム，円柱，（数字の）縦の列			
1587	rumor	噂			
1588	dust	埃			
1588.1	dirt	汚れ，泥，土			
1589	dialogue	対話			
1590	kindergarten	幼稚園			
1591	diabetes	糖尿病			
1591.1	insulin	インスリン			
1592	obesity	肥満			
1592.1	obese	肥満の，太り過ぎの			
1592.2	low-fat	低脂肪（の）			
1593	patent	特許，～の特許を取る			
1593.1	copyright	著作権，版権			
1594	chapter	章			
1595	palace	宮殿，大邸宅			
1595.1	mansion	大邸宅			
1596	laundry	洗濯			
1597	ward	病棟，（行政の）区			
1598	outbreak	勃発，（疫病などの）発生			
1599	equation	方程式，等式			
1599.1	equate	～を同一視する(+A with B)			
1600	archaeologist	考古学者			
1600.1	archaeology	考古学			
1601	corruption	腐敗，堕落			
1601.1	corrupt	腐敗した，堕落した			
1602	germ	細菌，病原体			
1603	revenue	収入			
1604	spouse	配偶者，結婚相手，夫，妻			
1605	epidemic	流行，伝染病			
1606	mortality	死亡，死亡者数			
1606.1	mortal	死ぬべき運命の，人間			
1606.2	immortal	不死の，永遠の			
1606.3	immortality	不死，不滅			
1607	syndrome	症候群			
1608	retail	小売り，～を小売りする			
1608.1	retailer	小売業者			
1609	dose	量，服用量			
1610	beverage	飲料			
1611	metabolism	新陳代謝			
1611.1	metabolic	新陳代謝の			
1612	hybrid	交配種，雑種，雑種の			
1613	scent	香り，匂い			
1613.1	perfume	香水，香り			
1613.2	odor	匂い			
1614	inflammation	炎症			
1614.1	inflammatory	炎症性の，炎症を起こす			
1614.2	anti-inflammatory	抗炎の			
1614.3	inflame	〜に炎症を起こさせる			
1615	pill	薬，錠剤			
1615.1	drug	麻薬，薬，薬品			
